Sloka,Class,EnglishTranslation
न वै भित्रा जातु चरन्ति धर्मं न वै सुखं प्राप्नुवन्तीह भित्राः।                              न वै सुखंभित्रा गौरवंप्राप्नुवन्ति न वै भित्राप्रशमंरोचयन्ति ॥                               ,Vidur Niti Slokas,"They never practice righteousness nor do they attain happiness here.They do not attain to dignity, nor do they relief from their fears."
    कामं क्रोधं तथा लोभं स्वाद शृङ्गारकौतुकम्।                                     अतिनिद्राऽतिसेवा च विद्यार्थी ह्याष्ट वर्जयेत्॥,Chanakya Slokas,"Lust, anger, greed, taste, aesthetics and festivities.A student should avoid excessive sleep and excessive service."
  गतं शोको न कर्तव्यं भविष्यं नैव चिन्तयेत्।                                     वर्तमानेन कालेन प्रवर्तन्ते विचक्षणाः॥,Chanakya Slokas,One should not grieve for the past nor think of the future.The wise are engaged in the present time.
 यशोधनानां हि यशो गरीयः ॥  ,sanskrit-slogan,The fame of the Yaśodhanas is the greatest.
  नास्ति मेघसमं तोयं नास्ति चात्मसमं बलम्।                                    नास्ति चक्षुसमं तेजो नास्ति चान्नसमं प्रियम्॥,Chanakya Slokas,"There is no water equal to a cloud and no strength equal to self.There is no effulgence equal to the eye, nor is there any dear equal to food."
  ईप्सितं मनसः सर्वं कस्य सम्पद्यते सुखम्।                                     दैवायत्तं यतः सर्वं तस्मात् सन्तोषमाश्रयेत्॥,Chanakya Slokas,"Whose happiness is attained by all the desired minds?Since everything is given to fate, one should take refuge in satisfaction."
षडिमान् पुरुषो जह्यात् भिन्नं नावमिवार्णवे                            अप्रवक्तारं आचार्यं अनध्यायिनम् ऋत्विजम् ।                            आरक्षितारं राजानं भार्यां चाऽप्रियवादिनीं                            ग्रामकामं च गोपालं वनकामं च नापितम्॥                               ,Vidur Niti Slokas,"A man who is not studied in the ocean is like a boat in a boat, and a priest is not a studied priest.The king was protecting his wife who was unpleasant to the cowherd man and the cowherd man and the cowherd men who had desired the forest"
 उपायपूर्वं न दुष्करं स्यात् ॥ ,sanskrit-slogan,It would not be difficult to do before the means.
वृत्तं यत्नेन संरक्षेद् वित्तमेति च याति च।                            अक्षीणो वित्ततः क्षीणो वृत्ततस्तु हतो हतः ॥                               ,Vidur Niti Slokas,He should preserve the circumstances and go to the wealth.He was not exhausted from wealth and was depleted of his conduct and was killed by his conduct.
 अपुत्रता मनुष्याणां श्रेयसे न कुपुत्रता ॥  ,sanskrit-slogan,"Without sons, human beings are not a bad son."
  धर्मस्य मूलमर्थः ॥   ,sanskrit-slogan,The root of religion is the meaning.
नास्ति बुद्धिमतां शत्रुः ॥  ,sanskrit-slogan,There is no enemy for the wise.
उपायेन हि यच्छक्यं न तच्छक्यं पराक्रमैः ॥   ,sanskrit-slogan,Whatever is impossible by means is not possible by prowess.
 चराति चरतो भगः ॥  ,sanskrit-slogan,Charati Charato Bhaga.
   अहिं नृपं च शार्दूलं वराटं बालकं तथा।                                     परश्वानं च मूर्खं च सप्तसुप्तान् बोधयेत्॥,Chanakya Slokas,"The serpent, the king, the tiger, the boy and the child.One should awaken the other horse and the fool who are seven asleep."
मानेन रक्ष्यते धान्यमश्चान् रक्षत्यनुक्रमः ।                            अभीक्ष्णदर्शनं ग्राश्च स्त्रियो रक्ष्याः कुचैलतः ॥                               ,Vidur Niti Slokas,The sequence protects the grain and the grain.The women should be protected from the breasts of the grave.
  शुनः पुच्छमिव व्यर्थं जीवितं विद्यया विना।                                      न गुह्यगोपने शक्तं न च दंशनिवारणे॥,Chanakya Slokas,"Like a dog's tail, life is useless without knowledge.It is not capable of concealing secrets nor in the prevention of bites"
कोकिलानां स्वरो रूपं नारी रूपं पतिव्रतम्।                                  विद्या रूपं कुरूपाणां क्षमा रूपं तपस्विनाम्॥,Chanakya Slokas,The voice of the cuckoos is the form of a woman and the form of a husband.Knowledge is the form of the ugly form of the form of the ascetics.
वनस्पतेरपक्वानि फलानि प्रचिनोति यः ।                           स नाप्नोति रसं तेभ्यो बीजं चास्य विनश्यति ॥ ,Vidur Niti Slokas,He who chooses the ripe fruits of a plant.He does not obtain the taste of the taste and the seeds of these are destroyed.
 संहतिः कार्यसाधिका ॥  ,sanskrit-slogan,Samhatiḥ karyasadhikā.
निश्चित्वा यः प्रक्रमते नान्तर्वसति कर्मणः ।                            अवन्ध्यकालो वश्यात्मा स वै पण्डित उच्यते ॥                               ,Vidur Niti Slokas,He who decides and proceeds to live inside and does not reside.The self-control is called a learned person who is under the control of the self.
 निर्गुणस्य हतं रूपं दुःशीलस्य हतं कुलम्।                                    असिद्धस्य हता विद्या अभोगस्य हतं धनम्॥,Chanakya Slokas,The form of the devoid of virtue is the destruction of the evil character of the wicked.The knowledge of the incomplete is the loss of enjoyment of non-enjoyment.
न ह्राविज्ञातशीलस्य प्रदातव्यः प्रतिश्रयः  ॥    ,sanskrit-slogan,The reliance on the decline of the unknown should not be given.
एकः सम्पत्रमश्नाति वस्त्रे वासश्च शोभनम् ।                            योऽसंविभज्य भृत्येभ्यः को नृशंसतरस्ततः ॥    ,Vidur Niti Slokas,One eats a mixture of clothing and dress in clothes.Who is more cruel than a man who does not divide his servants?
   चला लक्ष्मीश्चलाः प्राणाश्चले जीवितमन्दिरे।                                      चलाचले च संसारे धर्म एको हि निश्चलः॥,Chanakya Slokas,Chala Lakshmi is moving in the life of the moving life.And in this world of moving and unmoving righteousness alone is motionless
प्रियो भवति दानेन प्रियवादेन चापरः।                            मन्त्रमूलबलेनान्यो  यः प्रियः प्रिय एव सः ॥ ,Vidur Niti Slokas,He is dear to charity and another by pleasant arguments.He who is dear to the root of the mantra is dear to him.
षण्णामात्मनि नित्यानामैश्वर्यं योऽधिगच्छति।                                              न स पापैः कुतोऽनथैर्युज्यते विजितेन्द्रियः ॥    ,Vidur Niti Slokas,He who attains the opulence of the six eternal Self.He is not able to control his senses and has conquered his senses
ते पुत्रा ये पितुर्भक्ताः सः पिता यस्तु पोषकः।                                तन्मित्रं यत्र विश्वासः सा भार्या या निवृतिः ॥,Chanakya Slokas,Those sons who are devoted to the father are the father who is the nourisher.That is the friend where trust is the wife who is withdrawn
यत् सुखं सेवमानोपि धर्मार्थाभ्यां न हीयते।                            कामं तदुपसेवेत न मूढव्रतमाचरेत्। ॥                               ,Vidur Niti Slokas,"That which is not deprived of both dharma and artha, even while serving happiness.One should serve that desire and should not observe a foolish vow.॥"
 विद्या धनेषु उत्तमा वर्त्तते ॥  ,sanskrit-slogan,Knowledge is the best in wealth.
 सत्यमेव जयते ॥  ,sanskrit-slogan,Truth is the victory.
विद्यामदो धनमदस्तृतीयोऽभिजनो  मदः ।                            मदा एतेऽवलिप्तानामेत एव सतां दमाः ॥  ,Vidur Niti Slokas,"The third is the knowledge, the madness, the madness, the madness.These are the self-restraints of the virtuous who are smeared with me."
अभ्यावहति कल्याणं विविधं वाक् सुभाषिता।                             सैव दुर्भाषिता राजनर्थायोपपद्यते ॥    ,Vidur Niti Slokas,A good proverb brings about the various words of goodness.That very thing is difficult to speak for the sake of the king.
सन्तापाद् भ्रश्यते रुपं सन्तापाद् भ्रश्यते बलम्।                            सन्तापाद् भ्रश्यते ज्ञानं सन्तापाद् व्याधिमृच्छति ॥    ,Vidur Niti Slokas,The form is destroyed by the pain and the strength is destroyed by the pain.Knowledge is destroyed by grief and by suffering one suffers from disease.
उपायं चिन्तयेत्प्राज्ञस्तथा पायं च चिन्तयेत् ॥   ,sanskrit-slogan,A wise person should think of a remedy and should think of drinking it.
यादृशैः सत्रिविशते यादृशांश्चोपसेवते।                            यादृगिच्छेच्च भवितुं तादृग् भवति पूरुषः  ॥                               ,Vidur Niti Slokas,Whatever he enters into the satri and whatever he serves.The person who wants to become a person is such a person.
 ये शोकमनुवर्त्तन्ते  न तेषां विद्यते सुखम् ॥  ,sanskrit-slogan,Those who follow sorrow do not have happiness.
दश धर्मं न जानन्ति धृतराष्ट्र निबोध तान्।                              मत्तः प्रमत्तः उन्मत्तः श्रान्तः क्रुद्धो बुभुक्षितः ॥                              त्वरमाणश्च लुब्धश्च भीतः कामी च ते दश।                              तस्मादेतेषु सर्वेषु न प्रसज्जेत पण्डितः  ॥    ,Vidur Niti Slokas,"Ten Dharma do not know, O Dhritarashtra, listen to them.He was drunk, mad, mad, tired, angry and hungry.They are ten in hurry, greedy, frightened and lustful.Therefore a learned person should not be attached to all these things."
न योऽभ्यसुयत्यनुकम्पते च न दुर्बलः प्रातिभाव्यं करोति ।                            नात्याह किञ्चित् क्षमते विवादं सर्वत्र तादृग् लभते प्रशांसाम्  ॥                               ,Vidur Niti Slokas,"He who is not absorbed and compassionate does not become a weak person.Nothing is exceedingly able to arguice, and everywhere he obtains such adoptions."
आलस्यं मदमोहौ  चापलं गोष्टिरेव च।                            स्तब्धता चाभिमानित्वं तथा त्यागित्वमेव च।                            एते वै सप्त दोषाः स्युः सदा विद्यार्थिनां मताः ॥ ,Vidur Niti Slokas,"Laziness, drunkenness and delusion are agile and goshti.Study and self-control and renunciation.These seven evils are always considered to be the students of the students."
अप्युन्मत्तात् प्रलपतो बालाच्च परिजल्पतः।                            सर्वतः सारमादद्यात् अश्मभ्य इव काञ्जनम् ॥ ,Vidur Niti Slokas,They were talking about insane and talking to the child.The essence of the stone should be given to the stones from all sides.
येऽर्थाः  स्त्रीषु समायुक्ताः प्रमत्तपतितेषु च।                            ये चानार्ये समासक्ताः सर्वे ते संशयं गताः ॥                               ,Vidur Niti Slokas,The meanings of the women are combined with the madmen who have fallen.All those who were attached to ignoble and ignorant were in doubt.
 बलवन्तं रिपु दृष्ट् वा न वामान प्रकोपयेत् ॥  ,sanskrit-slogan,"Seeing a strong enemy, one should not be angry with the left."
 त्यजेदेकं कुलस्यार्थे ग्रामस्यार्थे कुलं त्यजेत्।                                  ग्रामं जनपदस्यार्थे आत्मार्थे पृथिवीं त्यजेत्॥,Chanakya Slokas,Leave one for the sake of the family and for the sake of the village.For the sake of the country for the sake of the country one should give up the earth for the sake of oneself
 यस्य स्नेहो भयं तस्य स्नेहो दुःखस्य भाजनम्।                                    स्नेहमूलानि दुःखानि तानि त्यक्तवा वसेत्सुखम्॥,Chanakya Slokas,The affection of one who is affectionate is the vessel of suffering.One should give up the roots of affection for the roots of affection and live happily
 अग्निदाहादपि  विशिष्टं वाक्पारुष्यम् ॥     ,sanskrit-slogan,It is also distinct from the burning of fire and is harsh in speech.
  नास्ति कामसमो व्याधिर्नास्ति मोहसमो रिपुः।                                  नास्ति कोप समो वह्नि र्नास्ति ज्ञानात्परं सुखम्॥,Chanakya Slokas,There is no disease equal to lust and no enemy equal to delusion.There is no anger equal to fire; there is no happiness greater than knowledge.
  पूर्वं निश्चित्य पश्चात् कार्यभारभेत् ॥   ,sanskrit-slogan,"After deciding in the past, one should be burdened with the weight of the work."
श्रोतव्यं खलु वृध्दानामिति शास्त्रनिदर्शनम् ॥   ,sanskrit-slogan,The scriptures show the scriptures that the elderly persons should hear.
विद्वानेव विजानाति विद्वज्जन परिश्रमम् ॥   ,sanskrit-slogan,A learned person understands the efforts of the learned.
सत्यमेव जयते न अनृतम् ॥   ,sanskrit-slogan,Truth alone triumphs and not lies.
 एकेनापि सुपुत्रेण विद्यायुक्ते च साधुना।                                  आह्लादितं कुलं सर्वं यथा चन्द्रेण शर्वरी॥,Chanakya Slokas,By a single good son and a saint endowed with knowledgeThe whole family was delighted like the night with the moon
 कृते प्रतिकृतिं कुर्यात् हिंसेन प्रतिहिंसनम् ।                                    तत्र दोषो न पतति दुष्टे दौष्ट्यं समाचरेत्॥,Chanakya Slokas,One should repay the replica in the case of violence.There is no fault in the evil one should commit evil deeds
दैवेन देयमिति कापुरुषा वदन्ति ॥   ,sanskrit-slogan,The Kapurushas say that it is to be given by fate.
समैर्विवाहः कुरुते न हीनैः समैः सख्यं व्यवहारं कथां च ।                            गुणैर्विशिष्टांश्च पुरो दधाति विपश्चितस्तस्य नयाः सुनीताः॥  ,Vidur Niti Slokas,"He does not marry the same by those who are devoid of friendship, behavior and story.The wise men of his news puts the city with his virtues and distinguished the city"
धनधान्य प्रयोगेषु विद्या सङ्ग्रहेषु च।                                आहारे व्यवहारे च त्यक्तलज्जः सुखी भवेत्॥,Chanakya Slokas,In the experiments of wealth and grain and in the collections of knowledge.He who has given up shame in food and behavior will be happy.
जरा रुपं हरति धैर्यमाशा मृत्युः प्राणान् धर्मचर्यामसूया।                             कामो ह्रियं वृत्तमनार्यसेवा क्रोधः श्रियं सर्वमेवाभिमानः ॥                               ,Vidur Niti Slokas,"Old age takes away patience, hope, death, life, righteousness, and envy.Lust is ablution, circumstances, ignorant service, anger, opulence and all pride."
गतिरात्मवतां सन्तः सन्त एव सतां गतिः।                            असतां च गतिः सन्तो न त्वसन्तः सतां गतिः ॥                               ,Vidur Niti Slokas,The path of the self-willed is the saint and the path of the virtuous.The path of the unrighteous is not the path of the saints and the path of the virtuous is not the same.
नास्ति भीरोः कार्यचिन्ता  ॥   ,sanskrit-slogan,There is no worry about the work of the timid.
द्वाविमौ कण्टकौ तीक्ष्णौ शरीरपरिशोषिणौ।                             यश्चाधनः कामयते यश्च कुप्यत्यनीश्चरः ॥    ,Vidur Niti Slokas,These two thorns are sharp and absorbed in the body.He who desires the wealth and who is angry with him
 तावन्मौनेन नीयन्ते कोकिलश्चैव वासराः ।                                  यावत्सर्वं जनानन्ददायिनी वाङ्न प्रवर्तते॥,Chanakya Slokas,"Meanwhile, the cuckoos are carried away by silence.Until all the words of the joy of the people are not engaged."
श्रुतं प्रज्ञानुगं यस्य प्रज्ञा चैव श्रुतानुगा।                           असम्भित्रायेमर्यादः पण्डिताख्यां लभेत सः ॥ ,Vidur Niti Slokas,"He whose wisdom is heard, and whose wisdom is heard.A person who is not able to save himself will attain to the name of a learned man."
शीलं प्रधानं पुरुषे तद् यस्येह प्रणश्यति।                            न तस्य जीवितेनार्थो न धनेन न बन्धुभिः ॥                               ,Vidur Niti Slokas,"Character is the principal in the man, and that which is destroyed here.He has no need of his life, no wealth, no relatives."
  परोक्षे कार्यहन्तारं प्रत्यक्षे प्रियवादिनम्।                                    वर्जयेत्तादृशं मित्रं विषकुम्भं पयोमुखम् ॥,Chanakya Slokas,"He kills the work in the indirect and is directly pleasant to speak.One should avoid such a friend, a poisonous pot, a milk-eater."
जननी जन्मभूमुश्च स्वर्गादपि गरीयसी ॥   ,sanskrit-slogan,Mother and birthplace are greater than heaven.
सोऽस्य दोषो न मन्तव्यः क्षमा हि परमं बलम्।                             क्षमा गुणों ह्यशक्तानां  शक्तानां  भूषणं क्षमा ॥                               ,Vidur Niti Slokas,"That is the fault of this, for forgiveness is the supreme strength.Forgiveness is the virtues of those who are incapable and forgiveness is the ornament of the powers."
य ईर्षुः परवित्तेषु रुपे वीर्ये कुलान्वये ।                            सुखसौभाग्यसत्कारे तस्य व्याधिरनन्तकः  ॥    ,Vidur Niti Slokas,"He who is jealous of the wealth of others’ wealth, in the form of semen, in the family.The disease of happiness, fortune and hospitality is infinite."
  दानेन पाणिर्न तु कङ्कणेन स्नानेन शुद्धिर्न तु चन्दनेन ।                                    मानेन तृप्तिर्न तु भोजनेन ज्ञानेन मुक्तिर्न तु मण्डनेन॥,Chanakya Slokas,"The hand by giving, not the bracelet, the bathing, the purity, not the sandalwood.Satisfaction with respect, not by food, by knowledge, liberation, not by adornment."
यो नोद्धतं कुरुते जातु वेषं न पौरुषेणापि विकत्थतेऽन्त्यान्।                            न मूर्च्छितः कटुकान्याह किञ्चित् प्रियंसदा तं कुरुते जनो हि ॥                               ,Vidur Niti Slokas,"He who does not make the dressed in a dress, nor does he disguise the ends even by manliness.When a person is always stunned, he does not faint, for he is always pleasing to him."
लालयेत् पंचवर्षाणि दशवर्षाणि ताडयेत्।                                  प्राप्ते तु षोडशे वर्षे पुत्रं मित्रवदाचरेत्॥,Chanakya Slokas,He should nurture for five years and beat him for ten years.At the age of sixteen years he should act like a friend
 माता यस्य गृहे नास्ति भार्या चाप्रियवादिनी।                            अरण्यं तेन गन्तव्यं यथारण्यं तथा गृहम् ॥,Chanakya Slokas,"A mother who has no mother in the house and a wife who speaks unpleasantly.He should go to the forest, just as a forest should be visited."
तादृशी जायते बुद्धिर्व्यवसायोऽपि तादृशः।                                  सहायास्तादृशा एव यादृशी भवितव्यता॥,Chanakya Slokas,Such intelligence is born and such is such a business.The same is true of the same as the same as that of the Lord.
कुतो विद्यार्थिनः सुखम् ॥   ,sanskrit-slogan,Where is the happiness of the student?
सन्तोषामृततृप्तानां यत्सुखं शान्तिरेव च।                                न च तद्धनलुब्धानामितश्चेतश्च धावाताम्॥,Chanakya Slokas,The happiness and peace of those who are satisfied with the nectar of satisfaction.Nor should they run from here to those who are greedy for wealth.
स्वजनं तर्पयित्वा यः शेषभोजी सोऽमृतभोजी ॥   ,sanskrit-slogan,A person who eats the rest of his relatives and eats nectar
यस्य कृत्यं न विघ्नन्ति शीतमुष्णं भयं रतिः ।                            समृद्धिरसमृद्धिर्वा स वै पण्डित उच्यते ॥                               ,Vidur Niti Slokas,"A person who does not interfere with cold, hotness, fear and passion.He is called a learned person or a person who is not rich or not."
  गुणैरुत्तमतां यान्ति नोच्चैरासनसंस्थितैः ।                                   प्रसादशिखरस्थोऽपि किं काको गरुडायते ॥,Chanakya Slokas,"They attain the highest state of the modes of nature, not by those who sit in a loud seat.Why does a crow, even on the peak of grace, do the crow?"
 रङ्कं करोति राजानं राजानं रङ्कमेव च।                                  धनिनं निर्धनं चैव निर्धनं धनिनं विधिः॥,Chanakya Slokas,"The king makes the king the king and the rankThe rich, the poor, the poor, the rich, the law."
 उपायेन हि यच्छक्यं तन्न शक्यं पराक्रमैः ॥  ,sanskrit-slogan,Whatever is possible by means of means is not possible for prowess
 सत्येन धार्यते पृथ्वी सत्येन तपते रविः।                                  सत्येन वाति वायुश्च सर्वं सत्ये प्रतिष्ठितम्॥,Chanakya Slokas,The earth is sustained by truth and the sun is burning with truth.By truth the wind blows everything and everything is established in truth
नैनं छन्दांसि वृजनात् तारयन्ति मायाविंन मायया वर्तमानम्।                            नीडं शकुन्ता इव जातपक्षाश्छन्दांस्येनं प्रजहत्यन्तकाले ॥                               ,Vidur Niti Slokas,"They do not save this chants from the magic, which is not present by illusion.At the end of the day, the wings of the wings of the wings of the birds, the wings of the wings, gave up the nest."
  नान्नोदकसमं दानं न तिथिर्द्वादशी समा ।                                 न गायत्र्याः परो मन्त्रो न मातुर्दैवतं परम् ॥,Chanakya Slokas,"There is no gift equal to food and water, no date equal to the twelfth day.There is no mantra greater than the Gāyatrī, nor is there any greater deity than the mother."
नास्त्यप्राप्यं सत्यवताम् ॥   ,sanskrit-slogan,There is nothing to be found for the truthful.
बलवन्तो हि अनियमाः नियमा दुर्बलीयसाम् ॥   ,sanskrit-slogan,They are strong and irregularly regulated with the weak.
 कार्यार्थिनामुपाय एव सहायः ॥  ,sanskrit-slogan,The means of doing the work is the only way to help.
चत्वारि ते तात गृहे वसन्तु श्रियाभिजुष्टस्य  गृहस्थधर्मे ।                            वृद्धो ज्ञातिरवसत्रः कुलीनः सखा दरिद्रो भगिनी चानपत्या ॥                               ,Vidur Niti Slokas,"My dear father, may you live in the house of a householder who is endowed with opulence.He was old, relatives, nobody, noble, friend, sister, sister, and unmarried."
द्वविमौ ग्रसते भूमिः सर्पो बिलशयानिवं।                            राजानं चाविरोद्धारं ब्राह्मणं चाप्रवासिनम् ॥ ,Vidur Niti Slokas,"These two swallow the earth, the snake, like the beds of the cave.The king and the brahmins were contradictory"
 काष्ठपाषाण धातुनां कृत्वा भावेन सेवनम्।                                   श्रद्धया च तथा सिद्धिस्तस्य विष्णोः प्रसादतः॥,Chanakya Slokas,Consumption with the sense of wood and stone metals.By faith and by the grace of Visnu his perfection.
  दर्शनध्यानसंस्पर्शैर्मत्स्यी कूर्मी च पक्षिणि।                                    शिशु पालयते नित्यं तथा सज्जनसंगतिः॥,Chanakya Slokas,"The fish is a fish in the birds with sight, meditation and touch.The child's association with the virtuous always takes care of the child"
लुब्धमर्थेन गृह्णीयात्स्तब्धमञ्जलिकर्मणा।                                   मूर्खश्छन्दानुरोधेन यथार्थवादेन पण्डितम्॥,Chanakya Slokas,He should take the greedy meaning by the action of stupidity.A fool is a wise man by the request of the chanda and by the real argument.
पंचेन्द्रियस्य मर्त्यस्य छिद्रं चेदेकमिन्द्रियम् ।                            ततोऽस्य स्त्रवति प्रज्ञा दृतेः पात्रादिवोदकम् ॥    ,Vidur Niti Slokas,"If there is a hole in the five senses, the same sense is the same.Then the intelligence of the Lord is discharged from the water from the water from the vessel."
  कस्य दोषः कुले नास्ति व्याधिना को न पीडितः।                                   व्यसनं केन न प्राप्तं कस्य सौख्यं निरन्तरम् ॥,Chanakya Slokas,Who has no fault in the family and who is not afflicted with diseaseWho has not attained adversity and whose happiness is continuous?
  कामधेनुगुणा विद्या ह्ययकाले फलदायिनी।                                   प्रवासे मातृसदृशा विद्या गुप्तं धनं स्मृतम्॥,Chanakya Slokas,Knowledge is the quality of desire and gives fruit in the time of the time.Knowledge like a mother in exile is said to be secret wealth.
   बन्धन्य विषयासङ्गः मुक्त्यै निर्विषयं मनः।                                     मन एव मनुष्याणां कारणं बन्धमोक्षयोः॥,Chanakya Slokas,"The mind is devoid of objects for liberation, attachment to objects.The mind itself is the cause of bondage and liberation for men."
   जीवन्तं मृतवन्मन्ये देहिनं धर्मवर्जितम्।                                     मृतो धर्मेण संयुक्तो दीर्घजीवी न संशयः॥,Chanakya Slokas,I think that the embodied is alive as a dead man is devoid of righteousness.He died with righteousness and was undoubtedly a long life.
 मनः शीघ्रतरं बातात् ॥  ,sanskrit-slogan,The mind is faster than the bat.
शब्दमात्रात् न भीतव्यम् ॥   ,sanskrit-slogan,It should not be afraid of the sound alone.
 शत्रवोऽपि हितायैव विवदन्तः परस्परम् ॥  ,sanskrit-slogan,Even the enemies were disputing with each other for the sake of their welfare
छात्रैः परिश्रमेण पठितव्यम् ॥   ,sanskrit-slogan,Students should read with hard work.
प्राप्नोति वै वित्तमसद्बलेन नित्योत्त्थानात् प्रज्ञया पौरुषेण।                            न त्वेव सम्यग् लभते प्रशंसां न वृत्तमाप्नोति महाकुलानाम् ॥                               ,Vidur Niti Slokas,"He obtains wealth by the strength of goodness, by eternal rise, wisdom and manhood.He does not get perfectly appreciated by the great families of great families."
 मनसा चिन्तितं कार्यं वाचा नैव प्रकाशयेत्।                                    मन्त्रेण रक्षयेद् गूढं कार्य चापि नियोजयेत् ॥,Chanakya Slokas,The work thought of the mind should not be revealed by words.With the mantra one should protect the mystery and the task should also be employed.
आक्रोशपरिवादाभ्यां विहिंसन्त्यबुधा बुधान्।                            वक्ता पापमुपादत्ते क्षममाणो विमुच्यते ॥                               ,Vidur Niti Slokas,"The ignorant, the wise, violate the wise in anger.A speaker includes sin and is freed from the forgiveness."
गतानुगतिको लोकः न लोक़ः पारमार्थिकः ॥   ,sanskrit-slogan,The world of the past is not the transcendental world.
  मातृवत् परदारेषु परद्रव्याणि लोष्ठवत्।                                    आत्मवत् सर्वभूतानि यः पश्यति सः पण्डितः॥,Chanakya Slokas,Like a mother in other wives and other things like a lip.He who sees all beings as the Self is a wise man.
  असमाहितस्य वृतिनर विद्यते ॥  ,sanskrit-slogan,There is a man who has no concentration.
नव्यसनपरस्य कार्यावाप्तिः ॥    ,sanskrit-slogan,The attainment of the work of the newly addicted.
अस्तयभाषणं पापं वर्तते ॥   ,sanskrit-slogan,Speaking of the situation is a sin.
 प्रियवाक्यप्रदानेन सर्वे तुष्यन्ति मानवाः ।                                 तस्मात् तदेव वक्तव्यं वचने का दरिद्रता ॥,Chanakya Slokas,"All human beings are pleased with the giving of pleasant wordsTherefore, what is the poverty in words?"
 पितरि प्रीतिमापन्ने प्रीयन्ते सर्वदेवताः ॥  ,sanskrit-slogan,All the demigods are pleased when they are pleased with their father.
अनिर्वेदः श्रियो मूलं लाभस्य च शुभस्य च।                            महान्  भवत्यनिर्विण्णः सुखं चानन्त्यमश्नुते ॥                               ,Vidur Niti Slokas,"Anirveda is the root of prosperity, profit and good.He becomes great and undisturbed and enjoys infinite happiness."
अकार्यकरणाद् भीतः कार्याणान्च विवर्जनात् ।                            अकाले मन्त्रभेदाच्च येन माद्देन्न तत् पिबेत् ॥    ,Vidur Niti Slokas,He is afraid of doing what he does not workOne should not give food to the one who gives me the difference of mantras prematurely.
 मूर्खाः यत्र न पूज्यन्ते धान्यं यत्र सुसंचितम् ।                                   दाम्पत्योः कलहो नास्ति तत्र श्री स्वयमागता॥,Chanakya Slokas,"Where fools are not worshipped, grain is well accumulated.There is no quarrel between the couple and the prosperity itself has come."
  यस्य चित्तं द्रवीभूतं कृपया सर्वजन्तुषु ।                                      तस्य ज्ञानेन मोक्षेण किं जटा भसमलेपनैः॥,Chanakya Slokas,"His mind is liquid, by His mercy, in all living beings.What is the use of his knowledge and liberation?"
कुराजराज्येन कृतः प्रजासुखं कुमित्रमित्रेण कुतोऽभिनिवृत्तिः।                                   कुदारदारैश्च कुतो गृहे रतिः कृशिष्यमध्यापयतः कुतो यशः॥,Chanakya Slokas,Where is the happiness of a bad friend and a friend who has been made by a bad kingdom?Where is the attraction in the house of the victims of the victims and where is the reputation of the lean person?
 न संसार भयं ज्ञानवताम् ॥   ,sanskrit-slogan,There is no fear of the world for the wise.
किं किं न साधयति कल्पलतेव विद्या ॥   ,sanskrit-slogan,"What doesn’t it achieve, just as knowledge does it go to the creeper of a Kalpa?"
 सुखार्थिनः कुतो विद्या नास्ति विद्यार्थिनः सुखम्।                             सुखार्थी वा त्यजेत् विद्यां विद्यार्थी वा त्यजेत् सुखम्॥    ,Vidur Niti Slokas,"Where is knowledge for those seeking happiness, there is no happiness for the seeker of knowledge?One who seeks happiness should abandon knowledge or one who seeks knowledge should abandon happiness."
गुरुरग्निर्द्विजातीनां वर्णानां ब्राह्मणो गुरुः।                                  पतिरेव गुरुः स्त्रीणां सर्वस्याभ्यगतो गुरुः॥,Chanakya Slokas,"The teacher is the fire of the twice-born, and the Brahmin is the teacher of the castes.The husband alone is the preceptor of all women and the preceptor has come to him."
   न निर्मिता केन न दृष्टपूर्वा न श्रूयते हेममयी कुरङ्गी ।                                     तथाऽपि तृष्णा रघुनन्दनस्य विनाशकाले विपरीतबुद्धिः॥,Chanakya Slokas,"Who has not created it and who has never seen it before, and it is not heard of a golden crown.Even so, at the time of destruction of the delight of the Raghus the thirst for Raghu"
यस्य बुद्धिर्बलं तस्य निर्बुद्धेस्तु कुतो बलम्  ॥   ,sanskrit-slogan,Where is the strength of one who has the strength of his intelligence?
  राजा राष्ट्रकृतं पापं राज्ञः पापं पुरोहितः।                                  भर्ता च स्त्रीकृतं पापं शिष्य पाप गुरुस्तथा॥,Chanakya Slokas,The king is the sin committed by the nation and the priest is the sin of the king.A husband who committed a woman by a woman is a disciple and a sinner is a sinner.
आत्मज्ञानं समारम्भः तितिक्षा धर्मनित्यता ।                            यमर्थान्नापकर्षन्ति स वै पण्डित उच्यते ॥ ,Vidur Niti Slokas,"Self-knowledge is the beginning of patience, patience and religion.A person who does not pull away from the material world is called a learned man."
 सर्वे चण्डस्य विभ्यति ॥   ,sanskrit-slogan,All of them are afraid of the fierce one.
आर्यकर्मणि रज्यन्ते भूतिकर्माणि कुर्वते।                            हितं च नाभ्यसूयन्ति पण्डिता भरतर्षभ ॥                               ,Vidur Niti Slokas,"They rejoice in the noble deeds and perform the rituals of prosperity.O best of the Bharatas, learned men do not envy for their welfare."
न हृष्यत्यात्मसम्माने नावमानेन  तप्यते।                              गाङ्गो ह्रद ईवाक्षोभ्यो यः स पण्डित उच्यते ॥                               ,Vidur Niti Slokas,"He does not rejoice in self-respect nor tormented by insult.The Ganges, which is like a lake, is called a learned man."
